crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,lstat
67.93,48.8,47.803,0,40,36,9,12.5,15,44.1,7,20
67.93,48.8,47.803,0,33,36,9,12.5,15,44.1,7,20
67.93,48.8,47.803,0,40,36,9,12.5,15,44.1,7,20
67.93,48.8,47.803,0,40,36,9,12.5,15,44.1,7,20
67.93,48.8,47.803,0,40,36,9,12.5,15,44.1,7,20
40.736,32.2,24.023,0,85,16,1,12.5,6,46.6,3,2
40.736,32.2,24.023,0,81,16,1,12.5,6,46.6,3,2
40.736,32.2,24.023,0,85,16,1,12.5,6,46.6,3,2
40.736,32.2,24.023,0,85,16,1,12.5,6,46.6,3,2
49.999,0,26.722,0,85,16,1,12.5,8,77.9,7,16
77.894,62.6,42.335,0,60,23,4,12,8,50.9,2,4
77.894,62.6,42.335,0,71,23,4,12,8,50.9,2,4
77.894,62.6,42.335,0,71,23,4,12,8,50.9,2,4
77.894,62.6,42.335,0,71,23,4,12,8,50.9,2,4
77.894,62.6,42.335,0,60,23,4,12,8,50.9,2,4
22.883,20,13.091,1.127,59,21,4,12,6,9.2,3,2
22.883,20,13.091,1.127,85,21,4,12,6,9.2,3,2
22.883,20,13.091,1.127,85,21,4,12,6,9.2,3,2
130.701,105.3,69.466,0,60,23,3,12.5,2,28.6,3,4
130.701,105.3,69.466,0,59,23,3,12.5,2,28.6,3,4
130.701,105.3,69.466,0,59,23,3,12.5,2,28.6,3,4
130.701,105.3,69.466,0,59,23,3,12.5,2,28.6,3,4
130.701,105.3,69.466,0,59,23,3,12.5,2,28.6,3,4
130.701,105.3,69.466,0,81,23,3,12.5,2,28.6,3,4
130.701,105.3,69.466,0,59,23,3,12.5,2,28.6,3,4
130.701,105.3,69.466,0,60,23,3,12.5,2,28.6,3,4
130.701,105.3,69.466,0,81,23,3,12.5,2,28.6,3,4
130.701,105.3,69.466,0,59,23,3,12.5,2,28.6,3,4
130.701,105.3,69.466,0,60,23,3,12.5,2,28.6,3,4
130.701,105.3,69.466,0,59,23,3,12.5,2,28.6,3,4
130.701,105.3,69.466,0,81,23,3,12.5,2,28.6,3,4
130.701,105.3,69.466,0,59,23,3,12.5,2,28.6,3,4
130.701,105.3,69.466,0,59,23,3,12.5,2,28.6,3,4
130.701,105.3,69.466,0,59,23,3,12.5,2,28.6,3,4
40.311,33,32.577,0,108,23,3,12.5,0,50.2,12,3
99.363,74.3,53.254,4.875,85,23,3,12.5,5,61.7,3,4
99.363,74.3,53.254,4.875,60,23,3,12.5,5,61.7,3,4
99.363,74.3,53.254,4.875,85,23,3,12.5,5,61.7,3,4
99.363,74.3,53.254,4.875,60,23,3,12.5,5,61.7,3,4
99.363,74.3,53.254,4.875,85,23,3,12.5,5,61.7,3,4
99.363,74.3,53.254,4.875,60,23,3,12.5,5,61.7,3,4
99.363,74.3,53.254,4.875,60,23,3,12.5,5,61.7,3,4
99.363,74.3,53.254,4.875,85,23,3,12.5,5,61.7,3,4
