crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,lstat
102809,905,47130.198,3486,50,27,5,1200,1,582,2,1
102809,905,47130.198,3486,50,27,5,1200,1,582,2,1
94100,793,54671.18,6989,85,61,18,1450,2,1229,1,0
94100,793,54671.18,6989,115,61,18,1450,2,1229,1,0
94100,793,54671.18,6989,115,61,18,1450,2,1229,1,0
94100,793,54671.18,6989,85,61,18,1450,2,1229,1,0
94100,793,54671.18,6989,85,61,18,1450,2,1229,1,0
94100,793,54671.18,6989,85,61,18,1450,2,1229,1,0
37530,320,20746.16,4316,85,61,18,1450,6,1233,1,1
37530,320,20746.16,4316,85,61,18,1450,6,1233,1,1
65452,421,39375.04,0,85,61,18,1450,4,1613,1,0
65452,421,39375.04,0,85,61,18,1450,4,1613,1,0
65452,421,39375.04,0,85,61,18,1450,4,1613,1,0
112366,1100,58114.23,0,85,61,18,1450,11,1243,1,0
112366,1100,58114.23,0,85,61,18,1450,11,1243,1,0
